Source_Node_u,Target_Node_v,Weight_Distance_km,Highway_Type,Is_Oneway
317,3206,0.005560381042728696,service,False
318,2952,0.04488620655956542,tertiary,False
318,5461,0.19540697082104092,tertiary,False
319,3466,0.01721410139092651,service,False
319,4971,0.010645873844796868,service,False
320,581,0.018312156423748543,residential,False
321,476,0.009323248870352085,service,False
321,2322,0.007421596724540049,service,False
322,778,0.09407844869518003,tertiary,False
322,2471,0.012791674942002656,residential,False
322,5406,0.02289916869919145,tertiary,False
323,2609,0.010825871277105426,tertiary,False
323,4130,0.01553023352385275,tertiary,False
323,4190,0.0123234499853786,tertiary,True
324,993,0.014693113498303684,service,False
324,1153,0.01045818751304883,service,True
325,1370,0.032532449263680666,service,False
325,3302,0.019305446796180636,service,False
326,1084,0.004469915303505229,service,False
326,1847,0.011933503245506976,tertiary,False
326,5032,0.01688735276296067,residential,False
327,647,0.0740788223825203,service,True
328,2300,0.005382266714364095,service,False
328,2387,0.01079851134857779,service,False
329,2482,0.022770192970215247,primary,True
330,2732,0.01664621943349231,residential,False
330,3295,0.006165536196427999,residential,False
331,3103,0.007961989846136134,residential,False
331,4376,0.037766579457364675,residential,False
332,76,0.03114499542011629,residential,False
332,1244,0.005450317140004019,residential,False
333,2536,0.027183049870793802,service,False
333,4405,0.022161018574773313,service,False
334,2982,0.009324092952994705,tertiary,False
334,5361,0.03445606353857405,tertiary,False
335,1379,0.008163007245435741,residential,True
336,924,0.009135658325475741,service,False
336,4466,0.013627721147331752,service,False
337,2242,0.021815322897326316,service,False
337,2245,0.03765215592594969,service,False
338,1122,0.02142992714314339,tertiary,True
338,1958,0.013164652934379488,tertiary,False
338,3967,0.013806062601482314,tertiary,False
339,1593,0.007437032563531354,service,False
339,2989,0.023910278067084012,service,False
339,5625,0.013445699329958117,service,False
340,233,0.004859779368864683,service,False
340,1371,0.0026067371681409474,service,False
341,3435,0.02271552230613663,tertiary,True
342,2568,0.0046034699631553825,service,False
342,2771,0.003798016568705454,service,False
343,1930,0.010563966491104911,residential,False
343,4303,0.04168154350313031,service,False
344,1779,0.03910015435296896,primary,True
345,744,0.023342563661297614,tertiary,False
345,5272,0.00931659648609607,residential,False
345,5518,0.01920354883298093,tertiary,False
346,297,0.010278649354590491,residential,False
346,5481,0.0028531713423595472,residential,False
347,2437,0.002112491529272525,service,False
347,3986,0.002102882162773701,service,False
348,1165,0.03233422446823305,service,False
348,1237,0.02876665615153654,service,False
348,3297,0.029874135743938674,service,False
349,3832,0.0044540542460914274,service,False
349,5721,0.017292601822555518,service,False
350,181,0.006288583645408101,service,False
350,4205,0.005909924664894107,service,False
351,891,0.014177259892079665,service,False
351,2985,0.0025018858495066167,service,False
352,1486,0.004338135900148155,service,False
353,2968,0.010654155789860552,service,False
353,5220,0.01801882492043213,service,False
354,258,0.0189133369244936,service,False
354,4142,0.01890018892303185,service,False
355,2377,0.017600526289071824,service,False
355,2989,0.04021710711949321,service,False
355,3554,0.028212295584191617,service,False
356,1184,0.005390409009979413,residential,False
356,3358,0.05893402592424156,residential,False
356,4655,0.009627091759866233,residential,False
357,164,0.02818941498343209,service,False
357,3002,0.015927895233658788,service,False
358,2763,0.003067043986483155,service,False
358,4754,0.011171977957610189,service,False
359,3753,0.11147946316905846,primary,True
360,762,0.0013427953195341168,primary,True
361,2240,0.06920584028843355,tertiary,False
361,5479,0.012802007138856786,tertiary,False
362,909,0.026865444714261076,service,False
363,1459,0.002127352492792364,unclassified,False
363,5465,0.05477648072448901,unclassified,False
364,1353,0.0051295019354186495,residential,False
364,3370,0.05118411617066438,residential,False
365,695,0.04039830605123866,residential,False
365,2649,0.005203021173126302,residential,False
365,3202,0.06981411193420482,residential,False
365,4457,0.018203682269849107,residential,False
366,5361,0.01571075356829908,tertiary_link,True
367,422,0.005682830228071085,service,False
367,2424,0.01783199474041538,service,False
368,4220,0.017697475794078207,service,True
368,4563,0.004038286422995043,service,False
369,279,0.036275721853426715,residential,False
369,847,0.033660312131785185,service,False
369,4045,0.01145953306548266,residential,False
370,4188,0.012841969556971207,service,False
370,4508,0.007420543545919166,service,False
371,3607,0.011390862103176424,service,False
371,4942,0.0063444295701114,service,False
372,2768,0.03593082365331079,service,False
373,1375,0.010475704866445234,service,False
373,5468,0.005048773782113361,service,False
374,2676,0.006587770421244123,service,False
374,4497,0.02131043085234489,tertiary,False
374,5223,0.022087162274048715,tertiary,False
375,2724,0.015593618227155982,service,False
375,5226,0.007017130335887538,service,False
376,3196,0.021743708593747486,service,False
